,id,tweets,links
1359774206968410113,1.3597742160280453e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/qSoQiNV6w1‌‌ 
SOURCE IMAGE:‌‌ https://t.co/VB3Sw1N9Nr  ","http://www.shitpostbot.com/template/persona-5-battle-template-58f0f8de82852
http://www.shitpostbot.com/sourceimage/meme-57b1d747aa054"
1359766657351229441,1.3597666655090934e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/j4ynfCpwoB‌‌ 
SOURCE IMAGE:‌‌ https://t.co/SIr1txfyNB  ","http://www.shitpostbot.com/template/dream-man-57e2bb0ad57f9
http://www.shitpostbot.com/sourceimage/ancap-bird-58b95d2e9e827"
1359759107109101568,1.359759115581616e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/Fy9KYCA2kO‌‌ 
SOURCE IMAGE:‌‌ https://t.co/OYLLs1D2jb  ","http://www.shitpostbot.com/template/smugness-5c9afa7583b98
http://www.shitpostbot.com/sourceimage/crock-blocked-57c9a4ea90a55"
1359751574424289282,1.359751583072936e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/La5n1X8tKk‌‌ 
SOURCE IMAGE:‌‌ https://t.co/CkVnX27usZ  ","http://www.shitpostbot.com/template/isnt-it-beautiful-59633a1fc1e10
http://www.shitpostbot.com/sourceimage/cenobite-57bfa6399be11"
1359744007287566336,1.35974401540352e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/udlDYaTx7J‌‌ 
SOURCE IMAGE:‌‌ https://t.co/4v3jhd2U6J  ","http://www.shitpostbot.com/template/forms-of-cancer-57b725e3d152b
http://www.shitpostbot.com/sourceimage/cry-me-a-river-57b1f29092462"
1359736458463096838,1.3597364669313843e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/y2NcnupSV6‌‌ 
SOURCE IMAGE:‌‌ https://t.co/UOgA7RLsNM  ","http://www.shitpostbot.com/template/in-class-57e6303254fab
http://www.shitpostbot.com/sourceimage/beth-in-tears-57b4767d4c25f"
1359728912813723650,1.3597289211184087e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/4I504PkRKA‌‌ 
SOURCE IMAGE:‌‌ https://t.co/linyUrwTR4  ","http://www.shitpostbot.com/template/i-told-my-uncle-about-photoshop-580f9582d27a5
http://www.shitpostbot.com/sourceimage/marisa-57cd15ed7d105"
1359721360520544258,1.359721369118929e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/JZmxQV9pYy‌‌ 
SOURCE IMAGE:‌‌ https://t.co/vrUKvdbx4g  ","http://www.shitpostbot.com/template/what-would-you-do-57f406b6e082a
http://www.shitpostbot.com/sourceimage/cake-5870730114c6d"
1359713809624096768,1.3597138178994668e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/GbNKHmqpVG‌‌ 
SOURCE IMAGE:‌‌ https://t.co/GL62yeiCEf  ","http://www.shitpostbot.com/template/elephant-art-57b22a27b3b5e
http://www.shitpostbot.com/sourceimage/scaredscout-57b6119c11e35"
1359706264599728128,1.3597062726485606e+18,".@ShitpostBot5000 TEMPLATE:‌‌ ‌‌https://t.co/rnzWyTAzAd‌‌ 
SOURCE IMAGE:‌‌ https://t.co/nFcIgVXeHX  ","http://www.shitpostbot.com/template/grandfather-57c25c9e5096a
http://www.shitpostbot.com/sourceimage/garbage-benis-59a7611a0ac16"
