,tweet,media,favorites,sources
1347490766520770561,https://t.co/xPjGiGMiwS,http://pbs.twimg.com/media/ErM_tkJXMAEXEsU.jpg,1530.0,"http://www.shitpostbot.com/template/if-you-believe-57c25d024e45a
http://www.shitpostbot.com/sourceimage/ape-panda-57bf279e587ea"
1347475669375209473,https://t.co/FU8MKVqwqK,http://pbs.twimg.com/media/ErMx-ywXYAAnfZ3.jpg,876.0,"http://www.shitpostbot.com/template/extremely-powerful-580261a16c3b1
http://www.shitpostbot.com/sourceimage/heroin-583f83d45da72"
1347468122446557185,https://t.co/KJW3BnG1rx,http://pbs.twimg.com/media/ErMrHfkXYAEmK-c.jpg,966.0,"http://www.shitpostbot.com/template/tumblr-raids-4chan-59a2e2588c851
http://www.shitpostbot.com/sourceimage/alex-jones-599ebc266e386"
1347437920865685506,https://t.co/Jx5ZDcX9my,http://pbs.twimg.com/media/ErMPpirWMAEz7FR.jpg,1647.0,"http://www.shitpostbot.com/template/bestmusic-57e12bb6699c2
http://www.shitpostbot.com/sourceimage/earth-is-lit-58b15beca7ae3"
1347354866855895042,https://t.co/T1nVLgxlJk,http://pbs.twimg.com/media/ErLEHKmXMAIG_pp.jpg,1444.0,"http://www.shitpostbot.com/template/gorillaz-593d59a1a51c1
http://www.shitpostbot.com/sourceimage/hes-got-a-gun-5887de61b57bd"
1347279374962327563,https://t.co/vpdCWeKMKv,http://pbs.twimg.com/media/ErJ_c82XAAM6ftR.jpg,1095.0,"http://www.shitpostbot.com/template/a-new-meal-from-dominos-59d79cb68e381
http://www.shitpostbot.com/sourceimage/pizza-57b1c6384e6b4"
1347234075896143873,https://t.co/1iwFE3e8uM,http://pbs.twimg.com/media/ErJWQMtW4AIjoLx.jpg,1893.0,"http://www.shitpostbot.com/template/the-painting-59363c1de0408
http://www.shitpostbot.com/sourceimage/angry-liar-57b7087087cc0"
1347075533029453829,https://t.co/KLGoB5fA5N,http://pbs.twimg.com/media/ErHGDzJXUAEWYDA.jpg,1592.0,"http://www.shitpostbot.com/template/things-i-need-57f459b82709f
http://www.shitpostbot.com/sourceimage/boiyo-58b8de2ec88b9"
1346818851556761600,https://t.co/o2D1Kds7Bx,http://pbs.twimg.com/media/ErDcm73W8AA8MuL.jpg,1503.0,"http://www.shitpostbot.com/template/ordinary-people-creative-people-590616399d8e9
http://www.shitpostbot.com/sourceimage/shut-the-fucking-up-5a48093357240"
1346554599965126656,https://t.co/T5YkYCho7p,http://pbs.twimg.com/media/Eq_sRewXcAErSJC.jpg,2578.0,"http://www.shitpostbot.com/template/she-drank-7-litres-of-coke-a-day-57d164a7e06af
http://www.shitpostbot.com/sourceimage/drink-beer-57b36fe20f047"
1346509302073319428,https://t.co/ZnJzjWW5ya,http://pbs.twimg.com/media/Eq_DExoXUAAPywl.jpg,795.0,"http://www.shitpostbot.com/template/heres-johnny-57b2091e78fe3
http://www.shitpostbot.com/sourceimage/gotdam-57b1f99d5b9fe"
1346305456231370754,https://t.co/slhSY8WxUQ,http://pbs.twimg.com/media/Eq8JrajXUAACXdI.jpg,839.0,"http://www.shitpostbot.com/template/cat-staring-at-garbage-59bdcce6879f8
http://www.shitpostbot.com/sourceimage/quality-shitpost-57e2947e096b0"
1346282808763932672,https://t.co/MRMPQPTL8f,http://pbs.twimg.com/media/Eq71FKiXEAQAsRU.jpg,2777.0,"http://www.shitpostbot.com/template/not-okay-list-57f3d8f950fc1
http://www.shitpostbot.com/sourceimage/drawing-the-zucc-58ab7720743d7"
1346245068831797254,https://t.co/HfeUJIrzB7,http://pbs.twimg.com/media/Eq7SwZ8XcAEENMj.jpg,1521.0,"http://www.shitpostbot.com/template/goth-59c7db35d5dc0
http://www.shitpostbot.com/sourceimage/beat-the-shit-out-of-my-dad-59f44af252656"
1346237513065762818,https://t.co/aJ9ZwKIW8O,http://pbs.twimg.com/media/Eq7L4mzWMAAb9c4.jpg,893.0,"http://www.shitpostbot.com/template/i-have-no-faith-in-you-592a0a5271702
http://www.shitpostbot.com/sourceimage/simpsons-57e36ab917645"
1346222414628347905,https://t.co/0sXJujdKZD,http://pbs.twimg.com/media/Eq6-JwWXEAg3soC.jpg,1967.0,"http://www.shitpostbot.com/template/white-kids-first-day-57b3b26cb54d4
http://www.shitpostbot.com/sourceimage/laughing-emoji-gun-58f5ced7d02a1"
1346063875544928257,https://t.co/AAFUKc5b0S,http://pbs.twimg.com/media/Eq4t9kPXIAAs6nO.jpg,1300.0,"http://www.shitpostbot.com/template/spirit-animal-57b20a8933a94
http://www.shitpostbot.com/sourceimage/garfielf-580189966e885"
1345973270261207041,https://t.co/y6yo9j7RAQ,http://pbs.twimg.com/media/Eq3bjppXcAAb-mt.jpg,1562.0,"http://www.shitpostbot.com/template/all-races-human-being-57e18d8d1acc8
http://www.shitpostbot.com/sourceimage/gohan-retard-597592b810aa2"
1345633528638275584,https://t.co/4i5GrCCrKu,http://pbs.twimg.com/media/EqymkGDXcAAeXwj.jpg,1182.0,"http://www.shitpostbot.com/template/a-baby-is-born-57b187ef55a61
http://www.shitpostbot.com/sourceimage/i-dont-want-penn-57b3205b0fead"
1345429685379989504,https://t.co/6ovurq5XJe,http://pbs.twimg.com/media/EqvtK1XXYAApvS2.jpg,1220.0,"http://www.shitpostbot.com/template/nihilism-593d9614e8198
http://www.shitpostbot.com/sourceimage/donald-duck-sleeping-57c25d1415a0a"
1345240940630466561,https://t.co/mbQ2N6nCkH,http://pbs.twimg.com/media/EqtBgdzXYAYGB8y.jpg,951.0,"http://www.shitpostbot.com/template/arthurs-computer-disaster-5ab85b3b0762c
http://www.shitpostbot.com/sourceimage/remmu-58f0b2807820e"
1345112595674632194,https://t.co/On6lEFmxK1,http://pbs.twimg.com/media/EqrMxykXIAAs_zt.jpg,1576.0,"http://www.shitpostbot.com/template/1-am-57e02bebdff8b
http://www.shitpostbot.com/sourceimage/wah-57f2fdb11ca02"
1345044650348978178,https://t.co/Krx96VvWzZ,http://pbs.twimg.com/media/EqqO-18XEAIxCw-.jpg,1370.0,"http://www.shitpostbot.com/template/top-ways-world-could-end-58b3e6536493b
http://www.shitpostbot.com/sourceimage/right-arm-of-the-forbidden-one-57ef02144e6f9"
1345029552179982336,https://t.co/D6BFj76TY6,http://pbs.twimg.com/media/EqqBQCLW8AAmrbC.jpg,902.0,"http://www.shitpostbot.com/template/tips-57c0d946bbb31
http://www.shitpostbot.com/sourceimage/emojis-57b411753ec70"
1344954055496499200,https://t.co/gmpD6Ll53q,http://pbs.twimg.com/media/Eqo8ljbXcAAeNZz.jpg,1695.0,"http://www.shitpostbot.com/template/ended-racism-59d84f552e005
http://www.shitpostbot.com/sourceimage/joe-biden-found-two-quarters-580c2d0d39c5a"
1344735111179337731,https://t.co/cePJjp3PKM,http://pbs.twimg.com/media/Eql1dTYW8AIcH1o.jpg,986.0,"http://www.shitpostbot.com/template/sexual-predator-57b2f063a436a
http://www.shitpostbot.com/sourceimage/dk-gun-57b5f183755ac"
1344636966999101440,https://t.co/Upni0HIpWc,http://pbs.twimg.com/media/EqkcMj2W8AEKP_W.jpg,763.0,"http://www.shitpostbot.com/template/taking-your-bra-off-57cc300db7228
http://www.shitpostbot.com/sourceimage/ohno-heshot-584c5d479485e"
1344433127872200704,https://t.co/ABz7KoKS7t,http://pbs.twimg.com/media/EqhizkfXcAADqos.jpg,1500.0,"http://www.shitpostbot.com/template/and-then-theres-me-57f566442e7d3
http://www.shitpostbot.com/sourceimage/big-smoke-ordering-food-quote-580c03011b0c9"
1344289677889695744,https://t.co/BpUByQAqKf,http://pbs.twimg.com/media/EqfgVrsXYAM8Lu-.jpg,1158.0,"http://www.shitpostbot.com/template/fine-5879e1df28ba1
http://www.shitpostbot.com/sourceimage/shit-template-detected-57b1fb5f5feb6"
1344093375675457538,https://t.co/zqg4t98tYP,http://pbs.twimg.com/media/EqctzZRXYAIX7g1.jpg,795.0,"http://www.shitpostbot.com/template/if-you-believe-57c25d024e45a
http://www.shitpostbot.com/sourceimage/spongenotamused-57b273042affa"
1344078282690596864,https://t.co/FmPPV7dD6n,http://pbs.twimg.com/media/EqcgE2pXcAA8RJH.jpg,1180.0,"http://www.shitpostbot.com/template/and-then-theres-me-57f566442e7d3
http://www.shitpostbot.com/sourceimage/prethoryn-57e702f4bb782"
1344070744926371840,https://t.co/buuSXa2bDY,http://pbs.twimg.com/media/EqcZOHLU0AURlhS.jpg,2818.0,"http://www.shitpostbot.com/template/when-women-arent-around-58f54af648696
http://www.shitpostbot.com/sourceimage/armstrongs-ass-588c37cdc46af"
1343919740599869445,https://t.co/LzerBq144h,http://pbs.twimg.com/media/EqaP4fzW8AAl6Fg.jpg,1465.0,"http://www.shitpostbot.com/template/sentient-587e7ed40e70d
http://www.shitpostbot.com/sourceimage/yoda-grief-57e9e2b9eff06"
1343821591092883463,https://t.co/fhuL2vvwt2,http://pbs.twimg.com/media/EqY2nc1W8AARvU3.jpg,1825.0,"http://www.shitpostbot.com/template/wheeze-57b6dc2cd7d2f
http://www.shitpostbot.com/sourceimage/gay-57de472402f42"
1343730996269772801,https://t.co/Z3yLHKpb9D,http://pbs.twimg.com/media/EqXkOITXIAAhNH_.jpg,2991.0,http://www.shitpostbot.com/template/he-looks-like-his-father-5989c4db69dc7
1343587563332919297,https://t.co/Wc1KT0lgYr,http://pbs.twimg.com/media/EqVhxNUXIAQrZeW.jpg,971.0,"http://www.shitpostbot.com/template/the-society-we-live-in-5c9537799467e
http://www.shitpostbot.com/sourceimage/shocked-marisa-58d54cfce5470"
1343512051839340544,https://t.co/VUuflstDuo,http://pbs.twimg.com/media/EqUdF5IXcAEsDZZ.jpg,809.0,"http://www.shitpostbot.com/template/do-not-swear-on-my-profile-58d9776d428f5
http://www.shitpostbot.com/sourceimage/the-jester-57b1e4a441e01"
1343466750403371008,https://t.co/151d3qAtox,http://pbs.twimg.com/media/EqTz4_hXIAAmuH8.jpg,752.0,"http://www.shitpostbot.com/template/problems-594ebee509531
http://www.shitpostbot.com/sourceimage/real-power-58986c2b049d2"
1343361064289918976,https://t.co/RI6YogF1xq,http://pbs.twimg.com/media/EqSTxQVXIAAMYxo.jpg,883.0,"http://www.shitpostbot.com/template/superheroes-57b1ffcd41df9
http://www.shitpostbot.com/sourceimage/windows-xp-wallpaper-588a588100882"
1343278008879046656,https://t.co/oNE8fa45Bo,http://pbs.twimg.com/media/EqRIOyvUYAUVkmi.jpg,1093.0,"http://www.shitpostbot.com/template/ateveryone-5904867ec5b9d
http://www.shitpostbot.com/sourceimage/jobber-57b1d5578d266"
1343232716234498052,https://t.co/pSv6E5p0AA,http://pbs.twimg.com/media/EqQfCZnXIAAA4aZ.jpg,1135.0,"http://www.shitpostbot.com/template/sometimes-its-ok-to-give-up-57b186d8d58ac
http://www.shitpostbot.com/sourceimage/mad-guts-595e77c9db870"
1343104360490930176,https://t.co/6Ac7HCHmZP,http://pbs.twimg.com/media/EqOqTIcXEAcBg4A.jpg,2116.0,"http://www.shitpostbot.com/template/what-i-did-on-my-summer-vacation-57cf063cc5f5d
http://www.shitpostbot.com/sourceimage/meth-58986bb44a0e3"
1343059073428762626,https://t.co/MeZ7Spc6da,http://pbs.twimg.com/media/EqOBHEvXAAU8yO1.jpg,1637.0,"http://www.shitpostbot.com/template/white-kids-first-day-57b3b26cb54d4
http://www.shitpostbot.com/sourceimage/ahhh-5880fb59e7274"
1343013767609769985,https://t.co/NiaZNOBrxM,http://pbs.twimg.com/media/EqNX56yXEAU2kYW.jpg,1086.0,"http://www.shitpostbot.com/template/real-danger-5847646c2af15
http://www.shitpostbot.com/sourceimage/left-arm-of-the-forbidden-one-57ef01f64b4bc"
1342734430083960832,https://t.co/568GY8JlIw,http://pbs.twimg.com/media/EqJZ2WHXIAEiab9.jpg,834.0,"http://www.shitpostbot.com/template/bible-truth-57c2b9334d31c
http://www.shitpostbot.com/sourceimage/jon-tron-with-a-hatchet-586c9e474974c"
1342711782960463872,https://t.co/Hk5ZxYTMEU,http://pbs.twimg.com/media/EqJFQG5XUAEUtRx.jpg,1204.0,"http://www.shitpostbot.com/template/the-shitshroom-5aad613013719
http://www.shitpostbot.com/sourceimage/spah-57b62de225827"
1342621188988809216,https://t.co/ekttkUzv92,http://pbs.twimg.com/media/EqHy22OXcAA-3-K.jpg,774.0,"http://www.shitpostbot.com/template/reggies-3ds-57c63fdbd81bd
http://www.shitpostbot.com/sourceimage/youre-winner-57b8981fcc24d"
1342515494029561858,https://t.co/LnqYEezVnd,http://pbs.twimg.com/media/EqGSulEXcAEldr3.jpg,1715.0,"http://www.shitpostbot.com/template/what-men-really-want-57b217cabdeee
http://www.shitpostbot.com/sourceimage/mario-64-57cfa2f13b514"
1342477736581988354,https://t.co/lG3krGaL1F,http://pbs.twimg.com/media/EqFwYz-XYAYm8wz.jpg,1144.0,"http://www.shitpostbot.com/template/need-more-sleep-57f243904b92d
http://www.shitpostbot.com/sourceimage/ok-57b1cc9113b0c"
1342424888670367744,https://t.co/ZoeH2OKAmi,http://pbs.twimg.com/media/EqFAUqOW8AMNzpp.jpg,1084.0,"http://www.shitpostbot.com/template/if-this-doesnt-end-racism-57b263cd7bf6a
http://www.shitpostbot.com/sourceimage/great-communist-leader-58e91b68648d0"
1341768060076756993,https://t.co/JV63Vz2ZFv,http://pbs.twimg.com/media/Ep7q8NBW8AAeIkI.jpg,754.0,"http://www.shitpostbot.com/template/all-she-needs-57b252e67d8a7
http://www.shitpostbot.com/sourceimage/when-the-suck-too-hard-57d093a6cd1ed"
1341987013684322304,https://t.co/xWTfxBCxgO,http://pbs.twimg.com/media/Ep-yE8iXEAIZZUf.jpg,879.0,"http://www.shitpostbot.com/template/asshole-5950acfa66c48
http://www.shitpostbot.com/sourceimage/vietnam-flashback-57cdd4fb0eac7"
1341888857588068353,https://t.co/l2qHyX9VwR,http://pbs.twimg.com/media/Ep9YziyW4AAS_Yq.jpg,1562.0,"http://www.shitpostbot.com/template/modern-art-is-beautiful-57bbff9a0a1ec
http://www.shitpostbot.com/sourceimage/spongeloid-587ff56b3305a"
1341851109359542278,https://t.co/Jcp4FQXHBE,http://pbs.twimg.com/media/Ep82eTHXIAI16vw.jpg,1282.0,"http://www.shitpostbot.com/template/xbox-community-58cbff67928d3
http://www.shitpostbot.com/sourceimage/fingertoagunfightjpeg-57b76239d9263"
1341798259766022144,https://t.co/pVBuSRJSW3,http://pbs.twimg.com/media/Ep8GaDeXEAEgYYn.jpg,1108.0,"http://www.shitpostbot.com/template/40-year-old-moms-59d6b2b86a943
http://www.shitpostbot.com/sourceimage/jontron-stare-589258ef3fe8d"
1341745418858881025,https://t.co/qm2NF7tTED,http://pbs.twimg.com/media/Ep7WWTdWwActOSS.jpg,2972.0,"http://www.shitpostbot.com/template/branflakes-57f31c1b5ec6e
http://www.shitpostbot.com/sourceimage/who-put-you-on-the-planet-57c66000a1996"
1341413217055158272,https://t.co/XYoTZuRJ32,http://pbs.twimg.com/media/Ep2oNkcXYAgDMss.jpg,854.0,"http://www.shitpostbot.com/template/dick-pick-sent-back-57f53cfe2eb2c
http://www.shitpostbot.com/sourceimage/cry-57d622dc1d28b"
